ph	Hardness	Solids	Chloramines	Sulfate	Conductivity	Organic_carbon	Trihalomethanes	Turbidity	Potability
8.316.765.884.214.670	21.437.339.408.562.200	22.018.417.440.775.200	805.933.237.743.854	35.688.613.564.305.600	3.632.665.161.642.430	18.436.524.495.493.300	10.034.167.436.508.000	4.628.770.536.837.080	0
9.092.223.456.290.960	18.110.150.923.612.500	1.797.898.633.892.620	6.546.599.974.207.940	31.013.573.752.420.400	39.841.081.338.184.400	11.558.279.443.446.300	31.997.992.727.424.700	4.075.075.425.430.030	0
5.584.086.638.456.080	1.883.133.237.696.160	2.874.868.773.904.610	754.486.878.877.965	3.266.783.629.116.730	2.804.679.159.334.870	8.399.734.640.152.750	54.917.861.841.994.400	25.597.082.275.565.200	0
10.223.862.164.528.700	24.807.173.527.013.900	28.749.716.543.528.200	75.134.084.658.313.000	39.366.339.551.509.600	2.836.516.335.078.440	13.789.695.317.519.800	8.460.355.617.402.350	2.672.988.736.934.770	0
8.635.848.718.500.730	20.336.152.258.457.000	13.672.091.763.901.600	4.563.008.685.599.700	3.033.097.711.592.810	47.460.764.494.244.800	1.236.381.669.870.520	62.798.308.962.925.100	4.401.424.715.445.480	0
11.180.284.470.721.500	22.723.146.923.797.400	2.548.450.849.098.780	9.077.200.016.914.390	40.404.163.468.408.900	5.638.854.814.810.940	1.792.780.641.128.500	7.197.660.103.221.910	4.370.561.936.655.490	0
7.360.640.105.838.250	16.552.079.725.952.800	32.452.614.409.143.800	7.550.700.906.704.110	32.662.435.345.560.100	42.538.341.949.538.700	15.586.810.438.033.100	7.874.001.566.430.470	36.622.917.828.524.500	0
7.119.824.384.264.550	15.670.499.334.039.200	18.730.813.653.342.700	36.060.360.905.057.200	2.823.440.504.739.600	34.771.502.726.194.300	15.929.535.908.825.600	795.007.783.369.744	3.445.756.223.321.890	0
6.347.271.760.539.310	18.673.288.066.057.600	4.106.523.476.453.930	9.629.596.276.480.580	3.644.876.872.467.600	516.743.281.893.657	11.539.781.191.539.400	7.507.161.728.663.770	4.376.348.290.691.890	0
9.181.560.007.151.530	27.381.380.665.980.000	2.404.132.628.006.120	6.904.989.726.470.090	3.983.505.168.222.770	4.779.746.418.621.770	13.387.340.780.225.500	714.573.622.129.516	4.503.660.796.179.120	0
7.371.050.302.429.530	21.449.661.045.715.600	25.630.320.036.999.700	4.432.669.290.372.120	33.575.443.859.606.500	46.991.455.147.923.500	12.509.163.940.498.600	6.279.727.715.266.120	25.602.991.476.149.100	0
6.660.212.026.118.100	16.828.374.685.651.800	30.944.363.591.242.600	5.858.769.130.547.580	31.093.085.831.787.800	5.236.712.975.009.440	1.788.423.519.296.480	770.423.180.517.003	37.497.012.410.996.100	0
5.400.301.780.729.460	14.073.906.225.113.900	17.266.593.421.923.000	10.056.852.484.033.400	3.283.582.406.986.830	4.728.740.732.754.290	11.256.381.166.909.400	569.319.064.457.562	4.824.786.389.767.520	0
6.514.415.093.251.670	19.876.735.125.945.600	21.218.702.871.190.100	867.093.691.991.312	3.235.963.490.101.310	4.132.904.500.885.340	14.899.999.566.696.900	7.984.784.281.372.550	5.200.885.076.539.750	0
34.450.618.643.852.100	20.792.626.018.799.300	334.247.686.784.948	8.782.147.480.773.480	38.400.700.580.172.100	4.417.858.756.739.380	1.380.590.221.127.070	30.284.597.198.002.700	4.184.396.969.028.850	0
7.181.448.580.829.170	20.962.560.053.629.000	15.196.229.987.483.800	5.994.678.646.449.970	3.383.364.310.774.870	3.421.112.862.851.920	792.259.833.302.262	715.379.532.557.936	5.088.859.989.138.790	0
10.433.290.982.804.300	11.779.122.955.039.600	22.326.892.045.718.600	8.161.504.810.728.330	30.770.750.861.182.400	4.129.868.337.903.320	12.890.708.564.511.700	6.573.347.838.938.280	5.057.310.516.515.720	0
7.414.148.196.336.240	23.504.453.448.737.100	32.555.852.537.073.600	68.459.520.238.449.000	3.871.753.164.773.560	411.983.364.167.012	10.244.815.068.359.700	4.448.929.725.226.030	3.160.624.468.232.630	0
5.115.817.063.771.210	19.195.274.297.485.800	19.620.545.328.612.100	6.060.712.994.989.320	3.238.363.839.136.290	44.174.837.932.486.800	1.096.648.615.295.340	4.923.823.132.273.560	39.020.887.676.437.500	0
3.641.629.777.473.380	18.390.872.226.182.600	24.752.072.459.755.400	5.538.314.133.481.360	2.860.595.560.492.710	4.568.600.959.410.410	903.406.675.271.333	735.946.567.566.564	34.643.530.351.550.200	0
9.267.187.530.763.540	19.861.439.471.909.500	24.683.723.566.029.600	6.110.612.421.393.190	32.807.753.320.146.900	39.687.694.905.791.700	16.471.969.353.155.100	30.383.314.574.642.000	4.324.004.645.618.280	0
5.331.940.479.018.530	19.487.406.544.579.900	16.658.876.503.163.500	7.993.829.562.375.310	31.667.516.182.816.600	3.351.203.984.374.610	10.180.513.802.631.500	5.957.271.371.122.680	4.434.820.257.956.540	0
7.145.771.545.218.820	23.868.992.851.166.000	28.780.340.431.632.700	681.402.870.120.907	3.859.756.504.867.890	3.320.327.063.306.850	11.093.163.397.452.600	6.613.804.474.710.010	5.182.590.703.980.220	0
9.920.691.058.768.150	2.028.174.830.014.260	9.973.934.059.208.530	6.882.248.306.781.500	33.735.052.910.963.700	33.319.246.993.768.000	23.917.601.261.274.900	71.833.623.959.766	469.070.723.013.249	0
6.953.864.225.511.050	2.096.382.929.790.200	1.057.518.628.088.930	4.462.707.246.137.980	31.560.659.440.039.200	39.118.431.508.600.500	1.328.533.391.608.590	8.739.088.897.956.330	3.195.710.328.196.260	0
1.068.296.642.580.590	1.733.754.983.501.200	15.758.740.621.388.900	5.570.783.575.394.450	30.735.258.576.592.600	3.238.079.132.465.800	100.908.697.516.698	7.847.278.445.385.450	39.997.753.815.500.600	0
8.757.257.397.440.990	20.019.140.044.205.700	21.536.224.687.445.400	4.915.101.054.543.180	31.788.290.049.783.700	4.047.177.991.564.450	13.768.323.306.421.300	47.930.871.877.110.200	36.261.354.416.122.300	0
780.963.189.801.941	1.004.576.150.915.830	12.013.550.628.764.500	5.212.314.602.065.350	2.472.008.260.476.430	6.052.201.243.500.050	9.611.348.740.011.230	6.608.417.363.713.340	2.447.444.463.910.630	0
6.652.488.090.855.700	1.450.101.719.190.830	19.871.788.448.305.800	4.961.066.380.191.500	2.880.521.917.368.510	545.974.993.762.403	10.942.024.256.012.100	717.274.140.605.346	37.420.904.263.496.600	0
9.147.197.055.336.920	21.171.414.177.764.100	11.920.610.835.646.200	72.307.947.693.374	3.397.519.188.007.930	5.277.089.100.130.400	1.827.531.210.927.760	4.763.488.493.437.150	37.945.315.911.032.100	0
